household_ID,room_ID,ac_ID,type_of_the_ac,is_the_ac_inverter_or_not,is_room_fully_sealed,wattage_of_the_ac,btu_of_the_ac,no_of_hours_ac_was_on_during_daytime_last_week,no_of_hours_ac_was_on_during_night_last_week
ID0417,I_5,I_5_AC_1,3,1,1,0.0,999,0.0,0.0
ID0417,I_7,I_7_AC_1,3,1,1,0.0,999,0.0,0.0
ID0417,I_8,I_8_AC_1,3,1,1,0.0,999,0.0,56.0
ID0417,I_9,I_9_AC_1,3,1,1,0.0,999,0.0,56.0
ID0423,I_3,I_3_AC_1,4,1,1,0.0,999,0.0,0.0
ID0445,I_4,I_4_AC_1,3,2,2,0.0,999,0.0,0.0
ID0446,I_2,I_2_AC_1,3,1,1,0.0,12000,0.0,56.0
ID0457,I_2,I_2_AC_1,3,1,1,0.0,12000,20.0,7.0
ID0470,I_3,I_3_AC_1,3,1,1,1200.0,12000,0.0,42.0
ID0470,I_4,I_4_AC_1,3,1,1,1500.0,16000,0.0,42.0
ID0509,I_4,I_4_AC_1,1,1,1,0.0,999,0.0,0.0
ID0510,I_3,I_3_AC_1,1,2,1,12.0,999,0.0,0.0
ID0517,I_4,I_4_AC_1,3,1,1,1800.0,1800,28.0,84.0
ID0528,I_2,I_2_AC_1,3,1,1,0.0,999,0.0,0.0
ID0531,I_4,I_4_AC_1,4,1,1,0.0,12000,21.0,0.0
ID0533,I_3,I_3_AC_1,4,2,1,0.0,18000,0.0,56.0
ID0543,I_2,I_2_AC_1,3,1,1,12000.0,12000,0.0,6.0
ID0543,I_3,I_3_AC_1,3,1,1,12000.0,12000,0.0,50.0
ID0543,I_4,I_4_AC_1,3,1,1,18000.0,18000,0.0,50.0
ID0544,I_2,I_2_AC_1,3,1,1,0.0,12000,0.0,0.0
ID0544,I_3,I_3_AC_1,3,1,1,0.0,12000,14.0,3.0
ID0545,I_3,I_3_AC_1,4,2,1,0.0,999,21.0,56.0
ID0545,I_5,I_5_AC_1,4,2,1,0.0,999,0.0,42.0
ID0546,I_2,I_2_AC_1,4,1,1,2000.0,2000,0.0,0.0
ID0549,I_2,I_2_AC_1,3,1,1,0.0,10000,35.0,49.0
ID0549,I_3,I_3_AC_1,3,1,1,0.0,10000,42.0,42.0
ID0554,I_4,I_4_AC_1,3,1,2,0.0,999,0.0,0.0
ID0555,I_2,I_2_AC_1,3,1,2,1.0,12000,0.0,49.0
